"ExpandKeywords(3000)-US-B0DDX8MYKQ,B0CTJGJL2T,B0CGZS5129,B0CXJ9338V,B0CZ9F35PT,B0CQQLYD3W,B0C2771TLS,B0CDRDK6MR,B0CFLRBTYN,B0C27FG8L9-Last-30-days-20250108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关键词,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN
women gifts under 50 dollars,50 美元以下的女士礼物,,,自然搜索词,0 ,1 ,B0C27FG8L9,"2,855,247",,,,,,1 ,0 ,"256,868 ",0.0 ,5 ,14.3%,33.3%,$1.26,$0.94 - $1.59,B0CS66YDVG,7.1%,0.0%,B07C5MSTFP,3.6%,16.7%,B0BFHXRG1F,3.6%,16.7%,"B08HV39298,B07KWHTH81,B08KZS91KW,B081NXKGFD,B077ZZR19R,B0BC7K8622,B07HQW9TQ8,B09SZ6MWB8,B079LRYKR1,B09WLNXMJ5"
women gifts under 50,50美元以下女性礼物,,,自然搜索词,0 ,1 ,B0CDRDK6MR,"2,048,332",,,,,,1 ,0 ,"15,972 ",0.0 ,2 ,20.0%,0.0%,$1.50,$1.36 - $1.82,B01DTFF0Y8,7.5%,0.0%,B09F2J4SX1,7.5%,0.0%,B07GV56HH8,5.0%,0.0%,"B09F2J4SX1,B09RN1ZH6L,B08GC1G4Y9,B0CFXFBG4L,B0C7TL9JSB,B0761Q3C7C,B0CJYN69ZY,B083X648R2,B0BQW3M249,B07DLQR4KN"
women gifts ideas,女性礼物的想法,,,自然搜索词,0 ,1 ,B0C27FG8L9,"648,715","1,730 ",49 ,2.84%,"37,591 ",711 ,2 ,0 ,"148,267 ",0.0 ,16 ,9.8%,5.9%,$1.39,$1.04 - $1.75,B07C5MSTFP,3.9%,5.9%,B0B6T66QL2,2.9%,0.0%,B0BX92ZT75,2.9%,0.0%,"B07SM61FCT,B0CJYN69ZY,B0C68MZ3GN,B0BX92ZT75,B07G142F9Z,B08BC88KG1,B09RN1ZH6L,B01MFGN8S5,B0B7BP6CJN,B09JT15JQF"
women gifts for christmas unique,圣诞节独特的女性礼物,,,自然搜索词,0 ,1 ,B0C27FG8L9,"2,191,537",,,,,,1 ,0 ,"173,069 ",0.0 ,15 ,10.4%,20.0%,,-,B0C27FG8L9,3.5%,20.0%,B00NA83RYU,3.5%,0.0%,B071D9J878,3.5%,0.0%,"B0C9H6YQ9R,B01DXRRZTU,B091ZFL4X5,B08P4BGYJ7,B0193XJZ1Y,B01LBUG9CK,B07CJPNC13,B016T023VS,B0CF2Q4L2T,B07DL7ZV31"
women gifts for christmas 2024,,,,自然搜索词,0 ,1 ,B0C27FG8L9,"1,890,601",,,,,,,,"27,950 ",,2 ,,,,-,B0D45SHGHT,5.9%,20.0%,B0B7NSB649,5.9%,0.0%,B0D95F614D,5.9%,0.0%,
women gifts for christmas,圣诞节的女性礼物,,,自然搜索词,0 ,1 ,B0C27FG8L9,"22,735","38,120 ","1,513 ",3.97%,"982,092 ","15,206 ",35 ,0 ,"208,072 ",0.2 ,26 ,11.0%,5.6%,$2.91,$1.74 - $3.64,B07Y2BP7F2,4.6%,1.5%,B07GBFT6Z3,3.8%,3.3%,B0CFXFBG4L,2.6%,0.9%,"B0BJYCRS51,B0CPXYFJP4,B08BC88KG1,B07SM61FCT,B01MRH7MR4,B08GHNRG5Q,B089D3Q24T,B0CHYWN5W6,B0DFM9HPL9,B0CBMPDDYS"
"women gift ideas, over 50 yr old woman",女性礼品创意，50 岁以上女性,,,自然搜索词,0 ,1 ,B0C2771TLS,"2,191,536",,,,,,1 ,0 ,564 ,0.0 ,12 ,20.7%,0.0%,,-,B0193XJZ1Y,6.9%,0.0%,B07DLQR4KN,6.9%,0.0%,B07GV56HH8,6.9%,0.0%,"B0CFKMT982,B0821BCFSS,B0C862D4W5,B07LFVFH4P,B0BVBD8G6S,B0C3LR5822,B0BRY9LLK8,B0BBM7NN8J,B07KWYFGRM,B0C6Q46YHH"
women gift christmas,女性圣诞礼物,,,自然搜索词,0 ,1 ,B0C27FG8L9,"1,686,387",,,,,,1 ,0 ,"212,753 ",0.0 ,1 ,20.4%,9.1%,$1.28,$1.12 - $1.61,B0CFXFBG4L,8.2%,9.1%,B07GBFT6Z3,6.1%,0.0%,B0CC2PB9WC,6.1%,0.0%,"B0C7QSX56D,B09Y8SV5RY,B0D3LM83KH,B01F1O68VE,B00VK5SG46,B096BB3P3X,B07CLG64HS,B0CHMDT2FM,B0CJYN69ZY,B0DFM9HPL9"
women decor for bedroom,卧室的女性装饰,,,自然搜索词,0 ,3 ,B0C27FG8L9/B0CDRDK6MR/B0CGZS5129,"1,839,676",,,,,,1 ,0 ,"77,703 ",0.0 ,1 ,22.9%,100.0%,$0.61,$0.46 - $0.75,B07VCR8Y42,8.6%,100.0%,B0BYSQPLJN,8.6%,0.0%,B0B8J6GNYN,5.7%,0.0%,"B0BQ8P6MCH,B0BBBZ3MNP,B0BNKVWM79,B0CD59K7PX,B0B8J6GNYN,B0BYYTLN3B,B0995M1JW7,B09KZ7XQ9K,B092S2JWRZ,B095P5RZD6"
women decor,女性装饰,,,自然搜索词,0 ,3 ,B0C27FG8L9/B0CDRDK6MR/B0CGZS5129,"2,263,511",140 ,3 ,2.82%,"2,904 ",62 ,1 ,0 ,"14,018 ",0.0 ,14 ,16.7%,0.0%,$0.85,$0.56 - $1.15,B00N2NK38Q,5.6%,0.0%,B07GRL1SFG,5.6%,0.0%,B0BPKVTNC6,5.6%,0.0%,"B0BBBZ3MNP,B09Y8SV5RY,B0995M1JW7,B088STQX35,B0BM8L76X9,B0D45BVCW7,B0CG3Q4H5Q,B0BPKVTNC6,B0BNKVWM79,B00N2NK38Q"
women christmas ideas,女性圣诞创意,,,自然搜索词,0 ,1 ,B0C27FG8L9,"1,720,099",429 ,11 ,2.63%,"11,694 ",163 ,1 ,0 ,"58,163 ",0.0 ,2 ,14.6%,9.1%,$0.88,$0.67 - $1.11,B07SM61FCT,6.3%,0.0%,B0B6RG9DGC,4.2%,9.1%,B0BYNLBVW6,4.2%,0.0%,"B08SWFJLDL,B0C27FG8L9,B07XF3KGP9,B0D77FFH7R,B07XCT268P,B0CCFYRH46,B07JHN77L3,B07H3NN3LC,B07L5QGF38,B08HVKZX17"
women christmas gifts ideas,女性圣诞礼物的想法,,,自然搜索词,0 ,1 ,B0C27FG8L9,,,,,,,1 ,0 ,"146,388 ",0.0 ,2 ,9.8%,6.7%,$1.65,$1.22 - $1.98,B0BB4JLLR7,5.1%,2.2%,B0BMQ9JV6P,2.4%,4.4%,B0CMT6TWC9,2.4%,0.0%,"B07L5QGF38,B0BFHXRG1F,B01AHPCL4U,B0BB4JLLR7,B08HVKZX17,B09CYRXHB2,B08HHR55W5,B07C5MSTFP,B07VJH8XD8,B07TYM4LMX"
women christmas gift ideas,女性圣诞礼物的想法,,,自然搜索词,0 ,1 ,B0C27FG8L9,"507,923",674 ,20 ,3.05%,"14,877 ",335 ,1 ,0 ,"6,230 ",0.1 ,2 ,9.0%,2.5%,$1.29,$0.92 - $1.55,B08HVKZX17,3.0%,2.5%,B07C5MSTFP,3.0%,0.0%,B0DFPBXK1L,3.0%,0.0%,"B07SM61FCT,B08BC88KG1,B0BZYCS9DS,B08GC1G4Y9,B07P8395DZ,B07JN5467R,B07S651GSW,B0BJYCRS51,B09RN1ZH6L,B0CCFYRH46"
women christmas gift,女士圣诞礼物,,,自然搜索词,0 ,1 ,B0CGZS5129,"630,374","2,329 ",66 ,2.85%,"63,325 ","1,011 ",2 ,0 ,"163,021 ",0.0 ,15 ,10.5%,12.5%,$0.95,$0.81 - $1.20,B07CLG64HS,3.8%,0.0%,B0DFPBXK1L,3.8%,0.0%,B07GBFT6Z3,2.9%,12.5%,"B08BC88KG1,B07SM61FCT,B089D3Q24T,B0BWJRJYS7,B0CYCFRZKD,B0C7QSX56D,B083X648R2,B09CYRXHB2,B0CQCCB95G,B0B9M4119W"
women birthday gift,女性生日礼物,,,自然搜索词,0 ,2 ,B0CDRDK6MR/B0CGZS5129,"1,027,539","2,030 ",268 ,13.24%,"47,567 ",985 ,7 ,1 ,"207,561 ",0.0 ,65 ,20.3%,10.0%,$0.79,$0.58 - $0.99,B0CJT1F4SR,7.8%,10.0%,B07T2S93Z8,6.3%,0.0%,B0BBWGCJ46,6.3%,0.0%,"B07SM61FCT,B0BQ2TZ1NV,B0BZYCS9DS,B0BRQGZL84,B0BX6B67T8,B0813NPTWB,B0B2TKJVDH,B00RYURH8M,B01MFGN8S5,B0C5LC519H"
women bedroom decor and accessories,女性卧室装饰和配饰,,,自然搜索词,0 ,1 ,B0CGZS5129,,,,,,,1 ,0 ,"27,850 ",0.0 ,5 ,30.8%,0.0%,,-,B0995M1JW7,11.5%,0.0%,B0D45BVCW7,11.5%,0.0%,B07FQ976B5,7.7%,0.0%,"B0CD59K7PX,B0BG46KCCH,B07T6D2QW5,B07CWT7YYL,B0CG6NJTZ2,B0BMLQK6Y5,B07FQ976B5,B0995M1JW7,B0BZP4WDGX,B0BBBZ3MNP"
womans gofts,女装,,,自然搜索词,0 ,1 ,B0C27FG8L9,"2,601,630",,,,,,1 ,0 ,"234,107 ",0.0 ,5 ,9.7%,37.5%,$0.51,$0.38 - $0.64,B07D29P5Z1,3.2%,12.5%,B07W6TR96W,3.2%,12.5%,B097BW8KN7,3.2%,12.5%,"B07S651GSW,B097BSKN9P,B0C7QZP3CS,B00VK5SG46,B0BFHXRG1F,B09BDG5RP3,B00RYURH8M,B0B7BP6CJN,B07SM61FCT,B0CHMDT2FM"
womans christmas gift,女式圣诞礼物,,,自然搜索词,0 ,1 ,B0C27FG8L9,"1,870,271",,,,,,1 ,0 ,"163,726 ",0.0 ,2 ,13.7%,33.3%,$1.35,$1.00 - $1.69,B0B7BP6CJN,4.6%,22.2%,B07PR467S5,4.6%,11.1%,B07H89L1SW,4.6%,0.0%,"B004EDWMBO,B096BB3P3X,B0C7QSX56D,B01F1O68VE,B0D3LM83KH,B07DLTVFKK,B07G142F9Z,B0875PFRL8,B09VDFN8S6,B0CGQ24JHY"
woman xmas gifts,女人的圣诞礼物,,,自然搜索词,0 ,1 ,B0C27FG8L9,"2,150,710",,,,,,1 ,0 ,"97,038 ",0.0 ,5 ,23.7%,25.0%,$0.80,$0.60 - $1.00,B0CFXFBG4L,7.9%,16.7%,B08GC1G4Y9,7.9%,8.3%,B0761Q3C7C,7.9%,0.0%,"B08HV39298,B0CHMDT2FM,B0CFXFBG4L,B097QKN1BL,B0BZZMG39M,B0875PFRL8,B0D8PQT5WJ,B00VK5SG46,B09KZN5LKG,B0BQ2TZ1NV"
woman who has everything gifts,,,,自然搜索词,0 ,1 ,B0C27FG8L9,"3,161,969",,,,,,,,0 ,,14 ,,,,-,B07L5QGF38,4.0%,14.3%,B07R56J5PW,4.0%,14.3%,B085P1J7LL,4.0%,14.3%,
woman room decor,女人房间的装饰,,,自然搜索词,0 ,2 ,B0CDRDK6MR/B0CGZS5129,"1,582,685",140 ,3 ,2.63%,"4,141 ",56 ,1 ,0 ,"111,479 ",0.0 ,1 ,22.0%,0.0%,$0.34,$0.25 - $0.43,B0BG46KCCH,9.8%,0.0%,B0CF1KKQ7D,7.3%,0.0%,B09G67DKXV,4.9%,0.0%,"B07CWT7YYL,B0BG46KCCH,B0BSD676SQ,B0BNKVWM79,B0BSD5S9TQ,B09GLNR9S9,B09GVWMXHB,B09TSFZ6RB,B0B82SL1JQ,B0BMLQK6Y5"
woman gifts ideas,女人礼物的想法,,,自然搜索词,0 ,1 ,B0C27FG8L9,"1,359,554",301 ,38 ,12.63%,"6,543 ",130 ,1 ,0 ,"148,142 ",0.0 ,15 ,14.6%,10.0%,$1.71,$1.22 - $2.26,B0BB4JLLR7,6.3%,0.0%,B0CRQXZBJM,4.2%,10.0%,B019Q3U7UE,4.2%,0.0%,"B07SM61FCT,B07G142F9Z,B0CJYN69ZY,B0BZZMG39M,B01MFGN8S5,B09319MZJN,B0BX92ZT75,B09JT15JQF,B01E4LWBLQ,B09RN1ZH6L"
woman gifts for christmas,女人的圣诞礼物,,,自然搜索词,0 ,1 ,B0C27FG8L9,"250,485","2,818 ",249 ,8.86%,"71,269 ","1,308 ",6 ,0 ,"207,241 ",0.0 ,20 ,10.6%,7.4%,$1.91,$1.21 - $2.40,B07Y2BP7F2,3.8%,0.0%,B0C7R25898,3.4%,5.6%,B07CLG64HS,3.4%,1.8%,"B089D3Q24T,B07SM61FCT,B08BC88KG1,B08RNBCH6K,B0BJYCRS51,B0C7QSX56D,B08GHNRG5Q,B09RN1ZH6L,B0BWJRJYS7,B0DCFNGLBP"
woman gifts for birthday,女人的生日礼物,,,自然搜索词,0 ,2 ,B0C27FG8L9/B0CGZS5129,"1,745,555","1,530 ",358 ,23.45%,"44,197 ",696 ,9 ,0 ,"208,135 ",0.0 ,2 ,18.9%,30.0%,$1.13,$0.89 - $1.48,B07T2S93Z8,8.1%,10.0%,B0BBBG4QMF,5.4%,10.0%,B0CZHSC6P8,5.4%,10.0%,"B089D3Q24T,B0BX6B67T8,B01MFGN8S5,B0CJYN69ZY,B07GBFT6Z3,B0BRQGZL84,B0C5LC519H,B0C7QZP3CS,B0193XJZ1Y,B07SM61FCT"
woman christmas gifts ideas,女人的圣诞礼物创意,,,自然搜索词,0 ,1 ,B0C27FG8L9,"1,792,097",,,,,,1 ,0 ,"6,326 ",0.0 ,1 ,15.2%,0.0%,$1.83,$1.53 - $2.05,B0DFPBXK1L,6.5%,0.0%,B01KK64SOM,4.4%,0.0%,B07DL7ZV31,4.4%,0.0%,"B08HVKZX17,B07JYWRGM4,B083HRZBDT,B00PSN3CUE,B0C6QC4Q2W,B01LBUG9CK,B0C3H7ZY79,B08HHR55W5,B01NCERNZB,B08YN6PVMP"
woman christmas,女人圣诞节,,,自然搜索词,0 ,1 ,B0C27FG8L9,"2,150,696",,,,,,1 ,0 ,"7,594 ",0.0 ,2 ,15.8%,16.7%,$0.76,$0.52 - $1.08,B08T7M4V6Q,7.9%,0.0%,B0C7R25898,5.3%,0.0%,B085XT846T,2.6%,16.7%,"B08L94646H,B075D9G69J,B07KMCJJHQ,B0CHWJJS8S,B0CGHVWSWJ,B0CJ5J2945,B0CL4S9MJV,B0BKSYT7GH,B07PLXXSR6,B0CMLF9PCQ"
woman boss gift ideas,女老板的礼物创意,,,SP广告词,0 ,1 ,B0CDRDK6MR,"809,457",,,,,,1 ,0 ,"215,985 ",0.0 ,14 ,23.1%,5.0%,$1.25,$0.94 - $1.58,1923108395,7.7%,5.0%,B0B3DNYP6Q,7.7%,0.0%,B0CY2MRJWP,7.7%,0.0%,"B08SPYC6RX,B0CKVLW15K,B0C277N9S6,B08F1WCLCT,B0CY2MRJWP,B0BKSM2YSF,B0D9YBDTWX,B0BX5912RT,B0B3DNYP6Q,B07TWT9BM4"
woman bedroom decor,女人卧室装饰,,,自然搜索词,0 ,3 ,B0C27FG8L9/B0CDRDK6MR/B0CGZS5129,"1,745,551",689 ,23 ,3.44%,"18,286 ",343 ,1 ,0 ,"77,058 ",0.0 ,13 ,29.7%,0.0%,$0.51,$0.38 - $0.64,B0B8J6GNYN,13.5%,0.0%,B08CXRZDQ9,8.1%,0.0%,B09CK8B3JB,8.1%,0.0%,"B09CDNPWX2,B0BSD5S9TQ,B0BSD676SQ,B07T6D2QW5,B09TSFZ6RB,B0BMLQK6Y5,B0BBBZ3MNP,B0D45BVCW7,B074KFP426,B0BKSWC4XC"
wohnendd candle warmer lamp with timer,,,,自然搜索词,0 ,7 ,B0C2771TLS/B0CDRDK6MR/B0CFLRBTYN/B0CQQLYD3W/B0CTJGJL2T/B0CZ9F35PT/B0DDX8MYKQ,,,,,,,,,0 ,,5 ,,,,-,,,,,,,,,,
witchy room decor aesthetic,巫婆房间装饰美学,,,SP广告词,0 ,2 ,B0CDRDK6MR/B0CGZS5129,"2,419,886",,,,,,1 ,0 ,"1,888 ",0.0 ,32 ,23.1%,50.0%,$0.60,$0.51 - $0.66,B0B62G3LWN,7.7%,50.0%,B08BG6BQ59,7.7%,0.0%,B08CD3CPT6,7.7%,0.0%,"B09289D6BR,B0BQ7LNQT2,B0BX8BQ828,B0C1WY29PM,B0B6FF918S,B0B4MYDC2W,B09LHSGB5Y,B07FDXY48N,B0C1RPCNBJ,B0CPPB2R4X"
witchy lamp,巫灯,,,自然搜索词/SP广告词,0 ,1 ,B0CGZS5129,"1,170,607",963 ,2 ,0.31%,"19,354 ",419 ,1 ,0 ,295 ,3.3 ,26 ,16.1%,0.0%,$0.85,$0.69 - $1.00,B00CM5TQC4,5.4%,0.0%,B07HDFBWW6,5.4%,0.0%,B0D5B8J71W,5.4%,0.0%,"B07HDFBWW6,B094JJMNLQ,B0C3714GZ7,B08XQ1RY54,B0CF459YS6,B0C7GQWDDZ,B0B3MW69FK,B095KC38LG,B00H222584,B0CCY9MQLK"
witchy home decor;,,,,自然搜索词,0 ,1 ,B0CGZS5129,,,,,,,,,0 ,,26 ,,,,-,,,,,,,,,,
witchy decor aesthetic;,,,,视频广告词,0 ,1 ,B0C27FG8L9,,,,,,,,,0 ,,15 ,,,,-,,,,,,,,,,
witchy bedroom decor,神奇的卧室装饰,,,自然搜索词,0 ,1 ,B0CGZS5129,"814,991","1,041 ",2 ,0.27%,"25,975 ",465 ,1 ,0 ,"2,839 ",0.4 ,7 ,14.8%,50.0%,$0.54,$0.40 - $0.68,B0C1RPCNBJ,7.4%,0.0%,B09289D6BR,3.7%,50.0%,B09D36P18V,3.7%,0.0%,"B0C1RPCNBJ,B09N46DYG7,B08K8GXDCK,B09GLNR9S9,B0BZC14DSX,B0D2Y2SCQL,B0CM2D59B2,B08VJKNS72,B0BHSTQRB4,B0CBX4R847"
witchy aesthetic room decor,,,,视频广告词,0 ,2 ,B0C27FG8L9/B0CGZS5129,,,,,,,,,0 ,,45 ,,,,-,,,,,,,,,,
witch room,,,,SP广告词,0 ,1 ,B0CDRDK6MR,,,,,,,,,0 ,,26 ,,,,-,,,,,,,,,,
witch lamp,巫灯,,,自然搜索词/SP广告词,0 ,1 ,B0CGZS5129,"2,506,366",140 ,4 ,3.18%,"3,271 ",68 ,1 ,1 ,528 ,0.3 ,2 ,28.0%,0.0%,$0.81,$0.56 - $0.95,B07JWJ9DK8,12.0%,0.0%,B07B9R2ZV2,8.0%,0.0%,B0CKX2D2BS,8.0%,0.0%,"B0C9PV8KTG,B07JWJ9DK8,B0C7GQHL26,B08YRMR2JC,B0CGMVGF73,B09KZTPDPK,B0C3714GZ7,B0BVVYPTGP,B0DC6LMCDX,B0D1P6YPVV"
witch decor aesthetic,女巫装饰美学,,,视频广告词,0 ,1 ,B0C27FG8L9,"1,446,913","1,363 ",48 ,3.55%,"32,270 ",678 ,2 ,4 ,"2,185 ",0.6 ,63 ,24.5%,33.3%,$0.36,$0.27 - $0.44,B0DCNMSD8F,8.9%,33.3%,B08T24ZW3P,8.9%,0.0%,B0936YVZKH,6.7%,0.0%,"B0D95R6VN4,B09LHSGB5Y,B0C1WY29PM,B0B62G3LWN,B09H78SC8Y,B0BD7BYXMT,B01BCS7J3Y,B0C1RPCNBJ,B07NY5KKQD,B0CHBK9L47"
wismigoth decor,,,,自然搜索词,0 ,2 ,B0C27FG8L9/B0CGZS5129,"2,419,867",,,,,,,,157 ,,1 ,,,,-,B0C4CS459J,19.2%,0.0%,B09W2FZJQT,11.5%,0.0%,B0CQ21HVHP,11.5%,0.0%,
wireless wax warmer,无线暖蜡器,,,自然搜索词,0 ,2 ,B0CDRDK6MR/B0DDX8MYKQ,"1,620,540","1,185 ",35 ,2.96%,"27,381 ",555 ,1 ,0 ,413 ,2.9 ,17 ,37.5%,0.0%,$0.60,$0.43 - $0.81,B0BX8B5Y9W,15.0%,0.0%,B0BXXFPK2D,12.5%,0.0%,B09BVR2Q9N,10.0%,0.0%,"B0BX8B5Y9W,B09WZWWT8S,B0CYLMZYD6,B09BVR2Q9N,B0BYJHR6LD,B07KF2J8BR,B0036FQDA2,B0BZSLRCXK,B0BZHP6CC6,B087FWCVZ5"
wireless lamps,无线灯,,,自然搜索词,0 ,1 ,B0CXJ9338V,"310,369","5,827 ",47 ,0.81%,"118,871 ","2,829 ",2 ,1 ,"10,762 ",0.5 ,24 ,16.4%,18.2%,$2.13,$1.82 - $2.80,B0D5Y72BBT,7.0%,4.6%,B0D5Y887YP,4.7%,13.6%,B09Z7YWHRY,4.7%,0.0%,"B0D5Y887YP,B0BR3R7GHN,B09Z7YWHRY,B0CHHFKWPV,B0CWNGNBM8,B09VXK6QJ6,B0B8GVVR1B,B0CST11D1Z,B0D7CN36HC,B0DCBJ78S5"
wireless cordless rechargeable battery heater,,,,SP广告词,0 ,1 ,B0C2771TLS,,,,,,,,,0 ,,14 ,,,,-,,,,,,,,,,
wireless candle warmer lamp,无线暖烛灯,,,自然搜索词/视频广告词,0 ,9 ,B0C2771TLS/B0CDRDK6MR/B0CFLRBTYN/B0CGZS5129/B0CQQLYD3W/B0CTJGJL2T/B0CXJ9338V/B0CZ9F35PT/B0DDX8MYKQ,"1,059,970",986 ,28 ,2.92%,"23,295 ",468 ,1 ,0 ,612 ,1.6 ,5 ,30.6%,0.0%,$1.32,$0.99 - $1.63,B0DDX8MYKQ,12.9%,0.0%,B0D9LDJRRH,9.7%,0.0%,B0BQ3FYXRY,8.1%,0.0%,"B0CTJGJL2T,B0BWJRJYS7,B0CCYCBRSK,B0BZPH17TR,B0CHN15LWF,B0CGZS5129,B0BZPCGBYT,B0CT274BX5,B0CZMWSBBV,B0D94LQ5XZ"
wireless bulbs for lamps,灯具的无线灯泡,,,自然搜索词,0 ,1 ,B0CDRDK6MR,"1,212,829","1,459 ",36 ,2.52%,"29,324 ",570 ,1 ,0 ,"1,792 ",0.8 ,5 ,35.2%,20.0%,$1.34,$1.00 - $1.67,B0CM31B9TY,14.8%,10.0%,B0797RK52Q,11.1%,0.0%,B0D795Z639,9.3%,10.0%,"B0D795Z639,B0CM31B9TY,B0CGTFSJ78,B0CLRLJK69,B0CP8Q6223,B0BYD3ZXD6,B07G1PH3JL,B0CNGG7CVP,B0C9HDH1WV,B0CQZYSRFF"
winter home essentials,冬季家居必需品,,,自然搜索词,0 ,1 ,B0CDRDK6MR,"2,123,851","1,682 ",54 ,3.24%,"42,171 ",742 ,2 ,0 ,"20,600 ",0.1 ,1 ,23.3%,0.0%,$1.00,$0.75 - $1.46,B07MSM6G9R,10.0%,0.0%,B0158EQE2K,6.7%,0.0%,B08G1KB88B,6.7%,0.0%,"B0158EQE2K,B07MSM6G9R,B09JK4KCYQ,B0BBGKTGTB,B09VZ11WHK,B0B7RJXZX1,B07QNS3HZJ,B08DHSBZJ3,B0BCFJVYJK,B09KXZ5QJM"
winter home decor,冬季家居装饰,,,HR推荐词/SP广告词,0 ,1 ,B0CDRDK6MR,"66,753","4,375 ",109 ,2.50%,"94,092 ","2,093 ",3 ,4 ,"111,901 ",0.0 ,126 ,17.5%,4.1%,$0.97,$0.66 - $1.38,B0CLB2DG5D,7.3%,0.8%,B0DHVD4Q1W,7.1%,2.5%,B0955WH12V,3.1%,0.8%,"B0BBPV2KWQ,B0B4RLL37W,B0BG1H5S5J,B07HHBQJGJ,B079M2Z1S7,B07WLPT238,B0B5D6R6GV,B0CJPP1YJD,B0CQ7TBKW7,B0CDVWVTFZ"
winter gift,冬季礼物,,,SP广告词,0 ,1 ,B0CGZS5129,"1,660,154",625 ,21 ,3.48%,"12,838 ",300 ,1 ,9 ,"204,454 ",0.0 ,81 ,12.8%,57.2%,$1.58,$1.19 - $2.02,B0DGT929PV,7.7%,28.6%,B0D3B5R7CQ,2.6%,14.3%,B0DD458XVN,2.6%,14.3%,"B0D7745M83,B0B9M4119W,B08GHNRG5Q,B0009F3R7E,B0CC2JKVVF,B0B3XNBSL3,B01KJP4KOM,B0158EQJSY,B0D76YGKPF,B0C22WJ4N6"
window candle suction cup,窗户蜡烛吸盘,,,SP广告词,0 ,1 ,B0CDRDK6MR,,,,,,,1 ,0 ,425 ,0.0 ,16 ,,,$0.80,$0.52 - $0.89,,,,,,,,,,"B07DZY2FN1,B08HQW7RRJ,B07V2TVPSD,B083B9SQ3C,B093QL7V1H,B09CKPTLY7,B08DHHJBP8,B08GM7BQFV,B075XHBK6C,B0B6B2HR8Z"
wildflower nursery decor girl,野花苗圃装饰女孩,,,SP广告词,0 ,1 ,B0CGZS5129,"1,839,317",462 ,15 ,3.26%,"10,532 ",211 ,1 ,1 ,707 ,0.7 ,5 ,25.7%,0.0%,$0.20,$0.18 - $0.23,B0D2VPCGCH,11.4%,0.0%,B0DHC81NXQ,8.6%,0.0%,B08DV66611,5.7%,0.0%,"B0BWS6FGKY,B0CJLRXGL5,B09MCY2NW9,B0D9LJH3WV,B09CKBR81T,B0CRHHQL9G,B0CX7XJJHV,B09PQBKWBV,B0D1FY58X8,B09QHGQTX8"
wildflower decor,野花装饰,,,视频广告词,0 ,1 ,B0C27FG8L9,"444,007","1,916 ",8 ,0.46%,"53,242 ",806 ,1 ,2 ,"7,770 ",0.3 ,20 ,16.8%,0.0%,$0.75,$0.56 - $0.93,B0BY22DL12,7.4%,0.0%,B09J2L3JXW,5.4%,0.0%,B0D267MB2S,4.0%,0.0%,"B0BZHWBD7L,B09QHGQTX8,B0CNJSCT1B,B0CPDYS77L,B0BGDTWW5P,B0BY22DL12,B0BXL4WPDF,B0D9LJH3WV,B0CJLRXGL5,B09J2L3JXW"
wife gifts for christmas,妻子的圣诞礼物,,,自然搜索词,0 ,1 ,B0CDRDK6MR,"235,183","2,576 ",253 ,9.86%,"71,547 ","1,254 ",6 ,0 ,"110,255 ",0.0 ,28 ,39.6%,8.3%,$2.89,$2.36 - $3.20,B0D926VTC7,33.2%,0.0%,B08YWP5QRF,3.2%,6.7%,B0C5LRR1ZY,3.2%,1.7%,"B0CCFYRH46,B089D3Q24T,B0BZYCS9DS,B09CYRXHB2,B09YCKLY82,B0BMQ9JV6P,B07SM61FCT,B08HV39298,B08P7MNXKY,B09833TQPB"
wife christmas gifts,妻子圣诞礼物,,,自然搜索词,0 ,1 ,B0CDRDK6MR,"157,371","7,600 ",734 ,9.66%,"196,270 ","3,131 ",17 ,1 ,"110,461 ",0.1 ,42 ,21.3%,6.1%,$1.25,$0.93 - $1.55,B0D926VTC7,11.1%,0.0%,B0D9PWC67V,6.8%,0.0%,B09833TQPB,3.4%,6.1%,"B089D3Q24T,B07SM61FCT,B0BZYCS9DS,B0CCFYRH46,B0BMQ9JV6P,B07S651GSW,B08HV39298,B0BPX45TD9,B09CYRXHB2,B0876WYLZT"
wickless candles for candle lamp,,,,品牌广告词/SP广告词,0 ,3 ,B0CDRDK6MR/B0CGZS5129/B0CZ9F35PT,,,,,,,,,0 ,,21 ,,,,-,,,,,,,,,,
